chapter,verse,sanskrit,hindi,english,explanation,emotion,source
3,3.3,श्रीभगवानुवाच । लोकेऽस्मिन्द्विविधा निष्ठा पुरा प्रोक्ता मयानघ ज्ञानयोगेन सांख्यानां कर्मयोगेन योग...,श्रीभगवान् बोले– हे निष्पाप ! इस लोकमें दो प्रकारकी निष्ठा’ मेरेद्वारा पहले कही गयी है । उनमेंसे सांख्ययोगियोंकी निष्ठा तो ज्ञानयोगसे और योगियोंकी निष्ठा कर्मयोगसे होती है|,"The Blessed Lord replied : O Arjuna, always remember in life that there are only two definite paths of action as I have described before. One of these is known as Sankhyayoga or the path of knowledge, and the other is Karmayoga, or the path of performing duty and action without expecting any result.","The Blessed Lord replied : O Arjuna, always remember in life that there are only two definite paths of action as I have described before. One of these is known as Sankhyayoga or the path of knowledge, and the other is Karmayoga, or the path of performing duty and action without expecting any result.",stress,Bhagavad Gita
3,3.4,न कर्मणामनारम्भान्नैष्कर्म्यं पुरुषोऽश्नुते । न च संन्यसनादेव सिद्धिं समधिगच्छति ॥ ३.४ ॥,मनुष्य न तो कर्मोंका आरम्भ किये बिना निष्कर्मताको यानी योगनिष्ठाको प्राप्त होता है और न कर्मोंके केवल त्यागमात्र सिद्धि यानी सांख्यनिष्ठाको ही प्राप्त होता है|,"O Arjuna, it is not only important to understand the meanings of Sankhyayoga and Karmayoga, but it is also important to understand the aims or goals behind each of these courses of action.The aim of Karmayoga is to achieve freedom from action. One cannot achieve the goal by total inaction or by not performing any action at all. The goal of Sankhyayoga is the realization of God. When one has fully realized God, he has reached a state of perfection. Once simply cannot attain this state of perfection by giving up or retreating from the performance of one’s actions.","O Arjuna, it is not only important to understand the meanings of Sankhyayoga and Karmayoga, but it is also important to understand the aims or goals behind each of these courses of action.The aim of Karmayoga is to achieve freedom from action. One cannot achieve the goal by total inaction or by not performing any action at all. The goal of Sankhyayoga is the realization of God. When one has fully realized God, he has reached a state of perfection. Once simply cannot attain this state of perfection by giving up or retreating from the performance of one’s actions.",stress,Bhagavad Gita
3,3.5,न हि कश्चित्क्षणमपि जातु तिष्ठत्यकर्मकृत् । कार्यते ह्यवशः कर्म सर्वः प्रकृतिजैर्गुणैः ॥ ३.५ ॥,निःसन्देह कोई भी मनुष्य किसी भी कालमें क्षणमात्र भी बिना कर्म किये नहीं रहता; क्योंकि सारा मनुष्यसमुदाय प्रकृतिजनित गुणोंद्वारा परवश हुआ कर्म करनेके लिये बाध्य किया जाता है|,Lord Krishna continued:There is nobody who is living that does not perform an action of some sort even for a moment. Everyone is forced to perform actions by natural tendencies (human nature).,Lord Krishna continued:There is nobody who is living that does not perform an action of some sort even for a moment. Everyone is forced to perform actions by natural tendencies (human nature).,stress,Bhagavad Gita
3,3.6,कर्मेन्द्रियाणि संयम्य य आस्ते मनसा स्मरन् । इन्द्रियार्थान्विमूढात्मा मिथ्याचारः स उच्यते ॥ ३.६ ॥,"जो मूढ़बुद्धि मनुष्य समस्त इन्द्रियोंको हठपूर्वक ऊपरसे रोककर मनसे उन इन्द्रियोंके विषयोंका चिन्तन करता रहता है, वह मिथ्याचारी अर्थात् दम्भी कहा जाता है|","O Arjuna, those who have learned to control the organs of action, yet still think in their minds of the pleasures that they can get from those organs, are fooling only themselves by pretending to have certain qualities that do not really exist within them.","O Arjuna, those who have learned to control the organs of action, yet still think in their minds of the pleasures that they can get from those organs, are fooling only themselves by pretending to have certain qualities that do not really exist within them.",stress,Bhagavad Gita
3,3.7,यस्त्विन्द्रियाणि मनसा नियम्यारभतेऽर्जुन । कर्मेन्द्रियैः कर्मयोगमसक्तः स विशिष्यते ॥ ३.७ ॥,"किन्तु हे अर्जुन ! जो पुरुष मनसे इन्द्रियोंको वशमें करके अनासक्त हुआ समस्त इन्द्रियों द्वारा कर्मयोगका आचरण करता है, वही श्रेष्ठ है|","The Blessed Lord spoke: O Arjuna, one who has fully learned to control his senses with his mind and practises selfless Karmayoga keeping his senses controlled and not allowing them to interfere and disrupt his action, is truly a great person.","The Blessed Lord spoke: O Arjuna, one who has fully learned to control his senses with his mind and practises selfless Karmayoga keeping his senses controlled and not allowing them to interfere and disrupt his action, is truly a great person.",stress,Bhagavad Gita
3,3.8,नियतं कुरु कर्म त्वं कर्म ज्यायो ह्यकर्मणः । शरीरयात्रापि च ते न प्रसिद्ध्येदकर्मणः ॥ ३.८ ॥,तू शास्त्रविहित कर्तव्यकर्म कर; क्योंकि कर्म न करनेकी अपेक्षा कर्म करना श्रेष्ठ है तथा कर्म न करनेसे तेरा शरीर- निर्वाह भी नहीं सिद्ध होगा|,"Perform the actions that you have been obliged to perform, or that have been prescribed for you. Action is always better than inaction, If one is inactive, he cannot live, simply because he is not performing the action of maintaining his body.","Perform the actions that you have been obliged to perform, or that have been prescribed for you. Action is always better than inaction, If one is inactive, he cannot live, simply because he is not performing the action of maintaining his body.",stress,Bhagavad Gita
3,3.9,यज्ञार्थात्कर्मणोऽन्यत्र लोकोऽयं कर्मबन्धनः । तदर्थं कर्म कौन्तेय मुक्तसङ्गः समाचर ॥ ३.९ ॥,यज्ञके निमित्त किये जानेवाले कर्मोंसे अतिरिक्त दूसरे कर्मोंमें लगा हुआ ही यह मनुष्यसमुदाय कर्मोंसे बँधता है। इसलिये हे अर्जुन! तू आसक्तिसे रहित होकर उस यज्ञके निमित्त ही भलीभाँति कर्तव्यकर्म कर|,"The Lord continued: O Arjuna, all the actions that a person performs in this world, except of course those associated with sacrifice or Yagya, tie that person to the world. Therefore, O Arjuna to break free from this link, perform all your actions well without being attached to them.","The Lord continued: O Arjuna, all the actions that a person performs in this world, except of course those associated with sacrifice or Yagya, tie that person to the world. Therefore, O Arjuna to break free from this link, perform all your actions well without being attached to them.",stress,Bhagavad Gita
3,3.11,देवान्भावयतानेन ते देवा भावयन्तु वः । परस्परं भावयन्तः श्रेयः परमवाप्स्यथ ॥ ३.११ ॥,तुमलोग इस यज्ञके द्वारा देवताओंको उन्नत करो और वे देवता तुमलोगोंको उन्नत करें। इस प्रकार निःस्वार्थभावसे एक-दूसरेको उन्नत करते हुए तुमलोग परम कल्याणको प्राप्त हो जाओगे|,"The Lord said unto Arjuna: The Gods or Deities grow with Yagya or sacrifice. When the Deities grow, they will help you to grow. Thus, both Deity and mankind grow continually. they will both achieve their supreme goal.","The Lord said unto Arjuna: The Gods or Deities grow with Yagya or sacrifice. When the Deities grow, they will help you to grow. Thus, both Deity and mankind grow continually. they will both achieve their supreme goal.",general,Bhagavad Gita
3,3.12,इष्टान्भोगान्हि वो देवा दास्यन्ते यज्ञभाविताः । तैर्दत्तानप्रदायैभ्यो यो भुङ्क्ते स्तेन एव सः ॥ ३.१...,"यज्ञके द्वारा बढ़ाये हुए देवता तुमलोगोंको बिना माँगे ही इच्छित भोग निश्चय ही देते रहेंगे । इस प्रकार उन देवताओंके द्वारा दिये हुए भोगोंको जो पुरुष उनको बिना दिये स्वयं भोगता है, वह चोर ही है|","Through the spirit of sacrifice of Yagya, the Deities grow and progress. As they grow, they will provide you with all the pleasures you desire. You should offer part of these pleasures to the Deities.If one is granted pleasures by another person, the one who receives the pleasures should share some of those pleasures with the provider of those pleasures, or else he is as bad as a thief.","Through the spirit of sacrifice of Yagya, the Deities grow and progress. As they grow, they will provide you with all the pleasures you desire. You should offer part of these pleasures to the Deities.If one is granted pleasures by another person, the one who receives the pleasures should share some of those pleasures with the provider of those pleasures, or else he is as bad as a thief.",happiness,Bhagavad Gita
3,3.13,यज्ञशिष्टाशिनः सन्तो मुच्यन्ते सर्वकिल्बिषैः । भुञ्जते ते त्वघं पापा ये पचन्त्यात्मकारणात् ॥ ३.१३ ॥,"यज्ञसे बचे हुए अन्नको खानेवाले श्रेष्ठ पुरुष सब पापोंसे मुक्त हो जाते हैं और जो पापीलोग अपना शरीर पोषण करनेके लिये ही अन्न पकाते – हैं, वे तो पापको ही खाते हैं|","The Blessed Lord Krishna said:People who eat food after offering it for sacrifice are considered pious, pure, and are freed from all sins. People who prepare food only for themselves commit sins and are impure.","The Blessed Lord Krishna said:People who eat food after offering it for sacrifice are considered pious, pure, and are freed from all sins. People who prepare food only for themselves commit sins and are impure.",general,Bhagavad Gita
3,3.14,अन्नाद्भवन्ति भूतानि पर्जन्यादन्नसम्भवः । यज्ञाद्भवति पर्जन्यो यज्ञः कर्मसमुद्भवः ॥ ३.१४ ॥,"सम्पूर्ण प्राणी अन्नसे उत्पन्न होते हैं, अन्नकी उत्पत्ति वृष्टिसे होती है, वृष्टि यज्ञसे होती है और यज्ञ विहित कर्मोंसे उत्पन्न होनेवाला है। कर्मसमुदायको तू वेदसे उत्पन्न और वेदको अविनाशी परमात्मासे उत्पन्न हुआ जान। इससे सिद्ध होता है कि सर्वव्यापी परम अक्षर परमात्मा सदा ही यज्ञमें प्रतिष्ठित है|","Food allows people to live. Food is produced from rain. Rain arises from sacrifice. Actions produce sacrifice or Yagna. God produces knowledge. Knowledge produces actions. Actions produce sacrifice or Yagya. Where there is sacrifice, the omnipresent God is there also.","Food allows people to live. Food is produced from rain. Rain arises from sacrifice. Actions produce sacrifice or Yagna. God produces knowledge. Knowledge produces actions. Actions produce sacrifice or Yagya. Where there is sacrifice, the omnipresent God is there also.",stress,Bhagavad Gita
3,3.15,कर्म ब्रह्मोद्भवं विद्धि ब्रह्माक्षरसमुद्भवम् । तस्मात्सर्वगतं ब्रह्म नित्यं यज्ञे प्रतिष्ठितम् ॥ ३...,"सम्पूर्ण प्राणी अन्नसे उत्पन्न होते हैं, अन्नकी उत्पत्ति वृष्टिसे होती है, वृष्टि यज्ञसे होती है और यज्ञ विहित कर्मोंसे उत्पन्न होनेवाला है। कर्मसमुदायको तू वेदसे उत्पन्न और वेदको अविनाशी परमात्मासे उत्पन्न हुआ जान। इससे सिद्ध होता है कि सर्वव्यापी परम अक्षर परमात्मा सदा ही यज्ञमें प्रतिष्ठित है|","Food allows people to live. Food is produced from rain. Rain arises from sacrifice. Actions produce sacrifice or Yagna.God produces knowledge. Knowledge produces actions. Actions produce sacrifice or Yagya.Where there is sacrifice, the omnipresent God is there also.","Food allows people to live. Food is produced from rain. Rain arises from sacrifice. Actions produce sacrifice or Yagna.God produces knowledge. Knowledge produces actions. Actions produce sacrifice or Yagya.Where there is sacrifice, the omnipresent God is there also.",stress,Bhagavad Gita
3,3.16,एवं प्रवर्तितं चक्रं नानुवर्तयतीह यः । अघायुरिन्द्रियारामो मोघं पार्थ स जीवति ॥ ३.१६ ॥,"हे पार्थ! जो पुरुष इस लोकमें इस प्रकार परम्परासे प्रचलित सृष्टिचक्रके अनुकूल नहीं बरतता अर्थात् अपने कर्तव्यका पालन नहीं करता, वह इन्द्रियों के द्वारा भोगोंमें रमण करनेवाला पापायु पुरुष व्यर्थ ही जीता है|","The Blessed Lord said: O Arjuna, he who does not follow the proper course of creation such as that I have just described, but centres his life around the enjoyment of luxuries, this sinful person, in my eyes, leads a useless life. He shall never fully understand and realize me.","The Blessed Lord said: O Arjuna, he who does not follow the proper course of creation such as that I have just described, but centres his life around the enjoyment of luxuries, this sinful person, in my eyes, leads a useless life. He shall never fully understand and realize me.",motivation,Bhagavad Gita
3,3.17,यस्त्वात्मरतिरेव स्यादात्मतृप्तश्च मानवः । आत्मन्येव च सन्तुष्टस्तस्य कार्यं न विद्यते ॥ ३.१७ ॥,"परन्तु जो मनुष्य आत्मामें ही रमण करनेवाला और आत्मामें ही तृप्त तथा आत्मामें ही सन्तुष्ट हो, उसके लिये कोई कर्तव्य नहीं है|","He, O Arjuna, who is satisfied and content in himself, and he who is absorbed in himself, actions and duties do not exist (for him).","He, O Arjuna, who is satisfied and content in himself, and he who is absorbed in himself, actions and duties do not exist (for him).",stress,Bhagavad Gita
3,3.18,नैव तस्य कृतेनार्थो नाकृतेनेह कश्चन । न चास्य सर्वभूतेषु कश्चिदर्थव्यपाश्रयः ॥ ३.१८ ॥,उस महापुरुषका इस विश्वमें न तो कर्म करनेसे कोई प्रयोजन रहता है और न कर्मोंके न करनेसे ही कोई प्रयोजन रहता है तथा सम्पूर्ण प्राणियोंमें । भी इसका किञ्चिन्मात्र भी स्वार्थका सम्बन्ध नहीं रहता|,"This type of person has no use for actions (duties performed for the attainment of a certain goal), or inactions (duties performed without the expectation of any results).This type of person has reached a very high stage in the attainment of peace and detachment from all beings and things. He no longer selfishly depends on anybody or anything.","This type of person has no use for actions (duties performed for the attainment of a certain goal), or inactions (duties performed without the expectation of any results).This type of person has reached a very high stage in the attainment of peace and detachment from all beings and things. He no longer selfishly depends on anybody or anything.",stress,Bhagavad Gita
3,3.19,तस्मादसक्तः सततं कार्यं कर्म समाचर । असक्तो ह्याचरन्कर्म परमाप्नोति पूरुषः ॥ ३.१९ ॥,इसलिये तू निरन्तर आसक्तिसे रहित होकर सदा कर्तव्यकर्मको भलीभाँति करता रह क्योंकि आसक्तिसे रहित होकर कर्म करता हुआ मनुष्य परमात्माको प्राप्त हो जाता है|,"Therefore, Arjuna always perform your given duties without feelings of attachment towards any being or anything. A person doing unattached actions, or in other words, “inction” attains the Lord, the key to perfection.","Therefore, Arjuna always perform your given duties without feelings of attachment towards any being or anything. A person doing unattached actions, or in other words, “inction” attains the Lord, the key to perfection.",stress,Bhagavad Gita
3,3.21,यद्यदाचरति श्रेष्ठस्तत्तदेवेतरो जनः । स यत्प्रमाणं कुरुते लोकस्तदनुवर्तते ॥ ३.२१ ॥,"श्रेष्ठ पुरुष जो जो आचरण करता है, अन्य पुरुष भी वैसा – वैसा ही आचरण करते हैं । वह जो कुछ प्रमाण कर देता है, समस्त मनुष्यसमुदाय उसीके अनुसार बरतने लग जाता है|","If a great man sets an example for the world, the world will follow him. Whatever standards or values he sets, people generally will follow the same set of standards and values.","If a great man sets an example for the world, the world will follow him. Whatever standards or values he sets, people generally will follow the same set of standards and values.",motivation,Bhagavad Gita
3,3.22,न मे पार्थास्ति कर्तव्यं त्रिषु लोकेषु किंचन । नानवाप्तमवाप्तव्यं वर्त एव च कर्मणि ॥ ३.२२ ॥,"हे अर्जुन ! मुझे इन तीनों लोकोंमें न तो कुछ कर्तव्य है और न कोई भी प्राप्त करनेयोग्य वस्तु अप्राप्त है, तो भी मैं कर्ममें ही बरतता हूँ|","The Blessed Lord spoke: O Arjuna, take Me for example. There is nothing that is not available for me in this universe, nor is there any specific function or duty for me to perform, still, however, I perform Karma.","The Blessed Lord spoke: O Arjuna, take Me for example. There is nothing that is not available for me in this universe, nor is there any specific function or duty for me to perform, still, however, I perform Karma.",stress,Bhagavad Gita
3,3.23,यदि ह्यहं न वर्तेयं जातु कर्मण्यतन्द्रितः । मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः ॥ ३.२३ ॥,क्योंकि हे पार्थ! यदि कदाचित् मैं सावधान होकर कर्मोंमें न बरतँ तो बड़ी हानि हो जाय; क्योंकि मनुष्य सब प्रकारसे मेरे ही मार्गका अनुसरण करते हैं|,"O Arjuna, if I do not perform my duties, the destruction of all regions of the universe will come about. Mixed castes will develop and all the beings on the face of this earth will be destroyed.","O Arjuna, if I do not perform my duties, the destruction of all regions of the universe will come about. Mixed castes will develop and all the beings on the face of this earth will be destroyed.",stress,Bhagavad Gita
3,3.24,उत्सीदेयुरिमे लोका न कुर्यां कर्म चेदहम् । संकरस्य च कर्ता स्यामुपहन्यामिमाः प्रजाः ॥ ३.२४ ॥,इसलिये यदि मैं कर्म न करूँ तो ये सब मनुष्य न नष्ट-भ्रष्ट हो जायँ और मैं संकरताका करनेवाला होऊँ तथा इस समस्त प्रजाको नष्ट करनेवाला बनूँ|,"These worlds would if I did no do action, I would be the cause of confusion of castes and I would destroy these beings.","These worlds would if I did no do action, I would be the cause of confusion of castes and I would destroy these beings.",stress,Bhagavad Gita
3,3.25,सक्ताः कर्मण्यविद्वांसो यथा कुर्वन्ति भारत । कुर्याद्विद्वांस्तथासक्तश्चिकीर्षुर्लोकसंग्रहम् ॥ ३.२५...,"हे भारत ! कर्ममें आसक्त हुए अज्ञानीजन जिस प्रकार कर्म करते हैं, आसक्तिरहित विद्वान् भी लोकसंग्रह करना चाहता हुआ उसी प्रकार कर्म करे|","The Blessed Lord said: Just as the ignorant perform actions with attachment to things and/or beings, so should the wise men take action for the preservation of world order, without developing any attachments whatsoever, O Arjuna.","The Blessed Lord said: Just as the ignorant perform actions with attachment to things and/or beings, so should the wise men take action for the preservation of world order, without developing any attachments whatsoever, O Arjuna.",stress,Bhagavad Gita
3,3.26,न बुद्धिभेदं जनयेदज्ञानां कर्मसङ्गिनाम् । जोषयेत्सर्वकर्माणि विद्वान्युक्तः समाचरन् ॥ ३.२६ ॥,परमात्माके स्वरूपमें अटल स्थित हुए ज्ञानी पुरुषको चाहिये कि वह शास्त्रविहित कर्मोंमें आसक्तिवाले अज्ञानियोंकी बुद्धिमें भ्रम अर्थात् कर्मोंमें अश्रद्धा उत्पन्न न करे । किन्तु स्वयं शास्त्रविहित समस्त कर्म भलीभाँति करता हुआ उनसे भी वैसे ही करवावे|,"It is not a wise man’s concern or responsibility to fill the ignorant person’s mind with doubts, even if the latter is attached to his actions and constantly awaits results.However, he should encourafe these ignorant people just as any great man, by performing his own duties and actions unattached to them, as well as possible.","It is not a wise man’s concern or responsibility to fill the ignorant person’s mind with doubts, even if the latter is attached to his actions and constantly awaits results.However, he should encourafe these ignorant people just as any great man, by performing his own duties and actions unattached to them, as well as possible.",stress,Bhagavad Gita
3,3.27,प्रकृतेः क्रियमाणानि गुणैः कर्माणि सर्वशः । अहंकारविमूढात्मा कर्ताहमिति मन्यते ॥ ३.२७ ॥,"वास्तवमें सम्पूर्ण कर्म सब प्रकारसे प्रकृतिके गुणोंद्वारा किये जाते हैं तो भी जिसका अन्तःकरण अहंकारसे मोहित हो रहा है, ऐसा अज्ञानी मैं कर्ता हूँ’ ऐसा मानता है|","The Blessed Lord Krishna spoke: O Arjuna, all actions that are performed by beings, are done so by three modes of Prakrithi or three aspects of nature. However, ignorant people claim themselves as the performer of their actions.","The Blessed Lord Krishna spoke: O Arjuna, all actions that are performed by beings, are done so by three modes of Prakrithi or three aspects of nature. However, ignorant people claim themselves as the performer of their actions.",stress,Bhagavad Gita
3,3.28,तत्त्ववित्तु महाबाहो गुणकर्मविभागयोः । गुणा गुणेषु वर्तन्त इति मत्वा न सज्जते ॥ ३.२८ ॥,"परन्तु हे महाबाहो ! गुणविभाग और कर्मविभाग के तत्त्व को जाननेवाला ज्ञानयोगी सम्पूर्ण गुण ही गुणोंमें बरत रहे हैं, ऐसा समझकर उनमें आसक्त नहीं होता|","He who understands fully, O Arjuna, the objects of perception (senses, mind, etc.), divisions of Prakrithi (nature), and selfless action, has the ability to understand the relationship of senses and sensual objects and never gets attached to any beings or objects.","He who understands fully, O Arjuna, the objects of perception (senses, mind, etc.), divisions of Prakrithi (nature), and selfless action, has the ability to understand the relationship of senses and sensual objects and never gets attached to any beings or objects.",stress,Bhagavad Gita
3,3.29,प्रकृतेर्गुणसंमूढाः सज्जन्ते गुणकर्मसु । तानकृत्स्नविदो मन्दान्कृत्स्नविन्न विचालयेत् ॥ ३.२९ ॥,"प्रकृतिके गुणोंसे अत्यन्त मोहित हुए मनुष्य गुणोंमें और कर्मोंमें आसक्त रहते हैं, उन पूर्णतया न समझनेवाले मन्दबुद्धि अज्ञानियोंको पूर्णतया जाननेवाला ज्ञानी विचलित न करे|","The Lord spoke: Those who are deceived by the Gunas of nature or Prakrithi and are deceived by karma, develop an attachment to the Gunas and to their actions.A wise person would not disturb, or have anything to do with these ignorant beings, O Arjuna.","The Lord spoke: Those who are deceived by the Gunas of nature or Prakrithi and are deceived by karma, develop an attachment to the Gunas and to their actions.A wise person would not disturb, or have anything to do with these ignorant beings, O Arjuna.",stress,Bhagavad Gita
3,3.31,ये मे मतमिदं नित्यमनुतिष्ठन्ति मानवाः । श्रद्धावन्तोऽनसूयन्तो मुच्यन्ते तेऽपि कर्मभिः ॥ ३.३१ ॥,"जो कोई मनुष्य दोषदृष्टिसे रहित और श्रद्धायुक्त होकर मेरे इस मतका सदा अनुसरण करते हैं, वे भी सम्पूर्ण कर्मोंसे छूट जाते हैं|","Those wise people, with faith in Me, and those who follow my teaching, are always given freedom from their actions (Karma).","Those wise people, with faith in Me, and those who follow my teaching, are always given freedom from their actions (Karma).",stress,Bhagavad Gita
3,3.32,ये त्वेतदभ्यसूयन्तो नानुतिष्ठन्ति मे मतम् । सर्वज्ञानविमूढांस्तान्विद्धि नष्टानचेतसः ॥ ३.३२ ॥,"परन्तु जो मनुष्य मुझमें दोषारोपण करते हुए मेरे इस मतके अनुसार नहीं चलते हैं, उन मूर्खोको तू सम्पूर्ण ज्ञानोंमें मोहित और नष्ट हुए ही समझ|","On the other hand, O Arjuna, those of poor intelligence that do not follow my teaching are ignorant; regard them as mere fools.","On the other hand, O Arjuna, those of poor intelligence that do not follow my teaching are ignorant; regard them as mere fools.",general,Bhagavad Gita
3,3.33,सदृशं चेष्टते स्वस्याः प्रकृतेर्ज्ञानवानपि । प्रकृतिं यान्ति भूतानि निग्रहः किं करिष्यति ॥ ३.३३ ॥,सभी प्राणी प्रकृतिको प्राप्त होते हैं अर्थात् अपने स्वभावके परवश हुए कर्म करते हैं। ज्ञानवान् भी अपनी प्रकृतिके अनुसार चेष्टा करता है। फिर इसमें किसीका हठ क्या करेगा ?,"All beings, wise or unwise, are forced to act by nature. What can restraint possibly do, O Arjuna?","All beings, wise or unwise, are forced to act by nature. What can restraint possibly do, O Arjuna?",general,Bhagavad Gita
3,3.34,इन्द्रियस्येन्द्रियस्यार्थे रागद्वेषौ व्यवस्थितौ । तयोर्न वशमागच्छेत्तौ ह्यस्य परिपन्थिनौ ॥ ३.३४ ॥,"इन्द्रिय इन्द्रियके अर्थमें अर्थात् प्रत्येक इन्द्रियके विषयमें राग और द्वेष छिपे हुए स्थित हैं। मनुष्यको उन दोनोंके वशमें नहीं होना चाहिये, क्योंकि वे दोनों ही इसके कल्याणमार्गमें विघ्न करनेवाले हैं महान् शत्रु है|",The Divine Lord stated:The enjoyment of sensual objects by their senses (an example of human nature) creates barriers to the path of Bliss and peace if one becomes a victim of attachment to his sesses.,The Divine Lord stated:The enjoyment of sensual objects by their senses (an example of human nature) creates barriers to the path of Bliss and peace if one becomes a victim of attachment to his sesses.,confusion,Bhagavad Gita
3,3.35,श्रेयान्स्वधर्मो विगुणः परधर्मात्स्वनुष्ठितात् । स्वधर्मे निधनं श्रेयः परधर्मो भयावहः ॥ ३.३५ ॥,अच्छी प्रकार आचरणमें लाये हुए दूसरेके धर्मसे गुणरहित भी अपना धर्म अति उत्तम है। अपने धर्ममें तो मरना भी कल्याणकारक है और दूसरेका धर्म भयको देनेवाला है|,"One’s own duty (Dharma) is more favourable than the well-established duty of others. To even encounter death, while performing one’s own duties (Dharma), is truly divine. However another person’s duty is filles with menace and fear.","One’s own duty (Dharma) is more favourable than the well-established duty of others. To even encounter death, while performing one’s own duties (Dharma), is truly divine. However another person’s duty is filles with menace and fear.",stress,Bhagavad Gita
3,3.36,अर्जुन उवाच । अथ केन प्रयुक्तोऽयं पापं चरति पूरुषः अनिच्छन्नपि वार्ष्णेय बलादिव नियोजितः ॥ ३.३६ ॥,अर्जुन बोले – हे कृष्ण ! तो फिर यह मनुष्य स्वयं – न चाहता हुआ भी बलात् लगाये हुएकी भाँति किससे प्रेरित होकर पापका आचरण करता है ?,"Arjuna asked the Lord: O Lord Krishna, what motivates a person to commit sins that were committed involuntarily or by the force of others?","Arjuna asked the Lord: O Lord Krishna, what motivates a person to commit sins that were committed involuntarily or by the force of others?",general,Bhagavad Gita
3,3.37,श्रीभगवानुवाच । काम एष क्रोध एष रजोगुणसमुद्भवः महाशनो महापाप्मा विद्ध्येनमिह वैरिणम् ॥ ३.३७ ॥,"श्रीभगवान् बोले– रजोगुणसे उत्पन्न हुआ यह काम ही क्रोध है, यह बहुत खानेवाला अर्थात् भोगोंसे कभी न अघानेवाला और बड़ा पापी है, इसको ही तू इस विषयमें वैरी जान|","The Divine Lord replied: It is desire and wrath or anger arising from the evil (Rajasik) Guna in the form of the great fire of attachment. In this case, consider this fire the enemy and the sinner.","The Divine Lord replied: It is desire and wrath or anger arising from the evil (Rajasik) Guna in the form of the great fire of attachment. In this case, consider this fire the enemy and the sinner.",general,Bhagavad Gita
3,3.38,धूमेनाव्रियते वह्निर्यथादर्शो मलेन च । यथोल्बेनावृतो गर्भस्तथा तेनेदमावृतम् ॥ ३.३८ ॥,"जिस प्रकार धूऍसे अग्नि और मैलसे दर्पण ढका जाता है तथा जिस प्रकार जेरसे गर्भ ढका रहता है, वैसे ही उस कामके द्वारा यह ज्ञान ढका रहता है|","Just as the smoke surrounds and covers a fire, just as dust surrounds and covers a mirror, and just as the amnion covers the embryo, similarly. Gyan or knowledge is covered and surrounded by one’s desires. O Arjuna.","Just as the smoke surrounds and covers a fire, just as dust surrounds and covers a mirror, and just as the amnion covers the embryo, similarly. Gyan or knowledge is covered and surrounded by one’s desires. O Arjuna.",general,Bhagavad Gita
3,3.39,आवृतं ज्ञानमेतेन ज्ञानिनो नित्यवैरिणा । कामरूपेण कौन्तेय दुष्पूरेणानलेन च ॥ ३.३९ ॥,और हे अर्जुन! इस अग्निके समान कभी न पूर्ण होनेवाले कामरूप ज्ञानियोंके नित्य वैरीके द्वारा मनुष्यका ज्ञान ढका हुआ है|,"The wise men, O Arjuna, have one constant enemy, namely, the unending fire of desire which covers the Gyan or Knowledge of the wise.","The wise men, O Arjuna, have one constant enemy, namely, the unending fire of desire which covers the Gyan or Knowledge of the wise.",general,Bhagavad Gita
3,3.41,तस्मात्त्वमिन्द्रियाण्यादौ नियम्य भरतर्षभ । पाप्मानं प्रजहि ह्येनं ज्ञानविज्ञाननाशनम् ॥ ३.४१ ॥,इसलिये हे अर्जुन! तू पहले इन्द्रियों को वशमें करके इस ज्ञान और विज्ञानका नाश करनेवाले महान् पापी कामको अवश्य ही बलपूर्वक मार डाल|,"The Blessed Lord advised: Therefore, O Arjuna, restrain the senses first and control your sinful desires, the enemy of Gyan or knowledge.","The Blessed Lord advised: Therefore, O Arjuna, restrain the senses first and control your sinful desires, the enemy of Gyan or knowledge.",general,Bhagavad Gita
3,3.42,इन्द्रियाणि पराण्याहुरिन्द्रियेभ्यः परं मनः । मनसस्तु परा बुद्धिर्यो बुद्धेः परतस्तु सः ॥ ३.४२ ॥,"इन्द्रियोंको स्थूल शरीरसे पर यानी श्रेष्ठ, बलवान् और सूक्ष्म कहते हैं; इन इन्द्रियोंसे पर मन है, मनसे भी पर बुद्धि है और जो बुद्धिसे भी अत्यन्त पर है वह आत्मा है|","O Arjuna, never understimate the senses for they are very powerful. The mind is stronger than the senses however, O Arjuna. The intellect is even stronger than one’s mind and the soul is still stronger than one’s intellect.","O Arjuna, never understimate the senses for they are very powerful. The mind is stronger than the senses however, O Arjuna. The intellect is even stronger than one’s mind and the soul is still stronger than one’s intellect.",general,Bhagavad Gita
3,3.43,एवं बुद्धेः परं बुद्ध्वा संस्तभ्यात्मानमात्मना । जहि शत्रुं महाबाहो कामरूपं दुरासदम् ॥ ३.४३ ॥,"इस प्रकार बुद्धिसे पर अर्थात् सूक्ष्म, बलवान् और अत्यन्त श्रेष्ठ आत्माको जानकर और बुद्धि के द्वारा मनको वशमें करके हे महाबाहो ! तू इस कामरूप दुर्जय शत्रुको मार डाल|","Therefore, Oh Arjuna, knowing that your soul is stronger than your intellect, and being aware that the intellect controls the mind, destroy that invincible and dominating enemy known as desire.","Therefore, Oh Arjuna, knowing that your soul is stronger than your intellect, and being aware that the intellect controls the mind, destroy that invincible and dominating enemy known as desire.",general,Bhagavad Gita
