text,emotion,type
I need motivation to work,motivation,pattern
give me strength to continue,motivation,pattern
I want to achieve my goals,motivation,pattern
help me find my purpose,motivation,pattern
I feel inspired today,motivation,pattern
need a push to start,motivation,pattern
motivation kahan se laoon,motivation,pattern
प्रेरणा दो मुझे,motivation,pattern
मुझे आगे बढ़ना है,motivation,pattern
I can do this,motivation,pattern
stay motivated,motivation,pattern
keep going,motivation,pattern
never give up,motivation,pattern
success mindset,motivation,pattern
positive energy needed,motivation,pattern
give me strength,motivation,pattern
strength to continue,motivation,pattern
need strength,motivation,pattern
I need strength,motivation,pattern
मैं बहुत खुश हूँ,happiness,pattern
खुशी महसूस कर रहा हूँ,happiness,pattern
मन प्रसन्न है,happiness,pattern
I am feeling stressed!,stress,augmented
very i am feeling stressed,stress,augmented
I am feeling stressed?!,stress,augmented
I am feeling stressed??,stress,augmented
very i am feeling stressed?,stress,augmented
Very i am feeling stressed!,stress,augmented
Very i am feeling stressed?,stress,augmented
very very i am feeling stressed,stress,augmented
work pressure is too much!,stress,augmented
very work pressure is too much,stress,augmented
work pressure is too much?!,stress,augmented
work pressure is too much??,stress,augmented
very work pressure is too much?,stress,augmented
Very work pressure is too much!,stress,augmented
Very work pressure is too much?,stress,augmented
very very work pressure is too much,stress,augmented
मुझे तनाव है!,stress,augmented
very मुझे तनाव है,stress,augmented
मुझे तनाव है?!,stress,augmented
मुझे तनाव है??,stress,augmented
very मुझे तनाव है?,stress,augmented
Very मुझे तनाव है!,stress,augmented
Very मुझे तनाव है?,stress,augmented
very very मुझे तनाव है,stress,augmented
too many responsibilities!,stress,augmented
very too many responsibilities,stress,augmented
too many responsibilities?!,stress,augmented
too many responsibilities??,stress,augmented
very too many responsibilities?,stress,augmented
Very too many responsibilities!,stress,augmented
Very too many responsibilities?,stress,augmented
very very too many responsibilities,stress,augmented
overwhelmed with work!,stress,augmented
very overwhelmed with work,stress,augmented
overwhelmed with work?!,stress,augmented
overwhelmed with work??,stress,augmented
very overwhelmed with work?,stress,augmented
Very overwhelmed with work!,stress,augmented
Very overwhelmed with work?,stress,augmented
very very overwhelmed with work,stress,augmented
तनाव से परेशान हूँ!,stress,augmented
very तनाव से परेशान हूँ,stress,augmented
तनाव से परेशान हूँ?!,stress,augmented
तनाव से परेशान हूँ??,stress,augmented
very तनाव से परेशान हूँ?,stress,augmented
Very तनाव से परेशान हूँ!,stress,augmented
Very तनाव से परेशान हूँ?,stress,augmented
very very तनाव से परेशान हूँ,stress,augmented
can't handle this!,stress,augmented
very can't handle this,stress,augmented
can't handle this?!,stress,augmented
can't handle this??,stress,augmented
very can't handle this?,stress,augmented
Very can't handle this!,stress,augmented
Very can't handle this?,stress,augmented
very very can't handle this,stress,augmented
burned out from work!,stress,augmented
very burned out from work,stress,augmented
burned out from work?!,stress,augmented
burned out from work??,stress,augmented
very burned out from work?,stress,augmented
Very burned out from work!,stress,augmented
Very burned out from work?,stress,augmented
very very burned out from work,stress,augmented
काम का दबाव बहुत है!,stress,augmented
very काम का दबाव बहुत है,stress,augmented
काम का दबाव बहुत है?!,stress,augmented
काम का दबाव बहुत है??,stress,augmented
very काम का दबाव बहुत है?,stress,augmented
Very काम का दबाव बहुत है!,stress,augmented
Very काम का दबाव बहुत है?,stress,augmented
very very काम का दबाव बहुत है,stress,augmented
I feel anxious about future!,anxiety,augmented
very i feel anxious about future,anxiety,augmented
I feel anxious about future?!,anxiety,augmented
I feel anxious about future??,anxiety,augmented
very i feel anxious about future?,anxiety,augmented
Very i feel anxious about future!,anxiety,augmented
Very i feel anxious about future?,anxiety,augmented
very very i feel anxious about future,anxiety,augmented
worried about tomorrow!,anxiety,augmented
very worried about tomorrow,anxiety,augmented
worried about tomorrow?!,anxiety,augmented
worried about tomorrow??,anxiety,augmented
very worried about tomorrow?,anxiety,augmented
Very worried about tomorrow!,anxiety,augmented
Very worried about tomorrow?,anxiety,augmented
very very worried about tomorrow,anxiety,augmented
मुझे चिंता हो रही है!,anxiety,augmented
very मुझे चिंता हो रही है,anxiety,augmented
मुझे चिंता हो रही है?!,anxiety,augmented
मुझे चिंता हो रही है??,anxiety,augmented
very मुझे चिंता हो रही है?,anxiety,augmented
Very मुझे चिंता हो रही है!,anxiety,augmented
Very मुझे चिंता हो रही है?,anxiety,augmented
very very मुझे चिंता हो रही है,anxiety,augmented
fear is taking over!,anxiety,augmented
very fear is taking over,anxiety,augmented
fear is taking over?!,anxiety,augmented
fear is taking over??,anxiety,augmented
very fear is taking over?,anxiety,augmented
Very fear is taking over!,anxiety,augmented
Very fear is taking over?,anxiety,augmented
very very fear is taking over,anxiety,augmented
can't stop worrying!,anxiety,augmented
very can't stop worrying,anxiety,augmented
can't stop worrying?!,anxiety,augmented
can't stop worrying??,anxiety,augmented
very can't stop worrying?,anxiety,augmented
Very can't stop worrying!,anxiety,augmented
Very can't stop worrying?,anxiety,augmented
very very can't stop worrying,anxiety,augmented
भविष्य की चिंता है!,anxiety,augmented
very भविष्य की चिंता है,anxiety,augmented
भविष्य की चिंता है?!,anxiety,augmented
भविष्य की चिंता है??,anxiety,augmented
very भविष्य की चिंता है?,anxiety,augmented
Very भविष्य की चिंता है!,anxiety,augmented
Very भविष्य की चिंता है?,anxiety,augmented
very very भविष्य की चिंता है,anxiety,augmented
overthinking everything!,anxiety,augmented
very overthinking everything,anxiety,augmented
overthinking everything?!,anxiety,augmented
overthinking everything??,anxiety,augmented
very overthinking everything?,anxiety,augmented
Very overthinking everything!,anxiety,augmented
Very overthinking everything?,anxiety,augmented
very very overthinking everything,anxiety,augmented
panic attacks!,anxiety,augmented
very panic attacks,anxiety,augmented
panic attacks?!,anxiety,augmented
panic attacks??,anxiety,augmented
very panic attacks?,anxiety,augmented
Very panic attacks!,anxiety,augmented
Very panic attacks?,anxiety,augmented
very very panic attacks,anxiety,augmented
डर लग रहा है!,anxiety,augmented
very डर लग रहा है,anxiety,augmented
डर लग रहा है?!,anxiety,augmented
डर लग रहा है??,anxiety,augmented
very डर लग रहा है?,anxiety,augmented
Very डर लग रहा है!,anxiety,augmented
Very डर लग रहा है?,anxiety,augmented
very very डर लग रहा है,anxiety,augmented
I need motivation!,motivation,augmented
very i need motivation,motivation,augmented
I need motivation?!,motivation,augmented
I need motivation??,motivation,augmented
very i need motivation?,motivation,augmented
Very i need motivation!,motivation,augmented
Very i need motivation?,motivation,augmented
very very i need motivation,motivation,augmented
feeling like giving up!,motivation,augmented
very feeling like giving up,motivation,augmented
feeling like giving up?!,motivation,augmented
feeling like giving up??,motivation,augmented
very feeling like giving up?,motivation,augmented
Very feeling like giving up!,motivation,augmented
Very feeling like giving up?,motivation,augmented
very very feeling like giving up,motivation,augmented
प्रेरणा चाहिए!,motivation,augmented
very प्रेरणा चाहिए,motivation,augmented
प्रेरणा चाहिए?!,motivation,augmented
प्रेरणा चाहिए??,motivation,augmented
very प्रेरणा चाहिए?,motivation,augmented
Very प्रेरणा चाहिए!,motivation,augmented
Very प्रेरणा चाहिए?,motivation,augmented
very very प्रेरणा चाहिए,motivation,augmented
lost my drive to succeed!,motivation,augmented
very lost my drive to succeed,motivation,augmented
lost my drive to succeed?!,motivation,augmented
lost my drive to succeed??,motivation,augmented
very lost my drive to succeed?,motivation,augmented
Very lost my drive to succeed!,motivation,augmented
Very lost my drive to succeed?,motivation,augmented
very very lost my drive to succeed,motivation,augmented
can't find energy!,motivation,augmented
very can't find energy,motivation,augmented
can't find energy?!,motivation,augmented
can't find energy??,motivation,augmented
very can't find energy?,motivation,augmented
Very can't find energy!,motivation,augmented
Very can't find energy?,motivation,augmented
very very can't find energy,motivation,augmented
हिम्मत हार रहा हूँ!,motivation,augmented
very हिम्मत हार रहा हूँ,motivation,augmented
हिम्मत हार रहा हूँ?!,motivation,augmented
हिम्मत हार रहा हूँ??,motivation,augmented
very हिम्मत हार रहा हूँ?,motivation,augmented
Very हिम्मत हार रहा हूँ!,motivation,augmented
Very हिम्मत हार रहा हूँ?,motivation,augmented
very very हिम्मत हार रहा हूँ,motivation,augmented
want to achieve but can't start!,motivation,augmented
very want to achieve but can't start,motivation,augmented
want to achieve but can't start?!,motivation,augmented
want to achieve but can't start??,motivation,augmented
very want to achieve but can't start?,motivation,augmented
Very want to achieve but can't start!,motivation,augmented
Very want to achieve but can't start?,motivation,augmented
very very want to achieve but can't start,motivation,augmented
need inspiration!,motivation,augmented
very need inspiration,motivation,augmented
need inspiration?!,motivation,augmented
need inspiration??,motivation,augmented
very need inspiration?,motivation,augmented
Very need inspiration!,motivation,augmented
Very need inspiration?,motivation,augmented
very very need inspiration,motivation,augmented
उठना है आगे बढ़ना है!,motivation,augmented
very उठना है आगे बढ़ना है,motivation,augmented
उठना है आगे बढ़ना है?!,motivation,augmented
उठना है आगे बढ़ना है??,motivation,augmented
very उठना है आगे बढ़ना है?,motivation,augmented
Very उठना है आगे बढ़ना है!,motivation,augmented
Very उठना है आगे बढ़ना है?,motivation,augmented
very very उठना है आगे बढ़ना है,motivation,augmented
confused about my path!,confusion,augmented
very confused about my path,confusion,augmented
confused about my path?!,confusion,augmented
confused about my path??,confusion,augmented
very confused about my path?,confusion,augmented
Very confused about my path!,confusion,augmented
Very confused about my path?,confusion,augmented
very very confused about my path,confusion,augmented
don't know what to do!,confusion,augmented
very don't know what to do,confusion,augmented
don't know what to do?!,confusion,augmented
don't know what to do??,confusion,augmented
very don't know what to do?,confusion,augmented
Very don't know what to do!,confusion,augmented
Very don't know what to do?,confusion,augmented
very very don't know what to do,confusion,augmented
समझ नहीं आ रहा!,confusion,augmented
very समझ नहीं आ रहा,confusion,augmented
समझ नहीं आ रहा?!,confusion,augmented
समझ नहीं आ रहा??,confusion,augmented
very समझ नहीं आ रहा?,confusion,augmented
Very समझ नहीं आ रहा!,confusion,augmented
Very समझ नहीं आ रहा?,confusion,augmented
very very समझ नहीं आ रहा,confusion,augmented
feeling lost in life!,confusion,augmented
very feeling lost in life,confusion,augmented
feeling lost in life?!,confusion,augmented
feeling lost in life??,confusion,augmented
very feeling lost in life?,confusion,augmented
Very feeling lost in life!,confusion,augmented
Very feeling lost in life?,confusion,augmented
very very feeling lost in life,confusion,augmented
can't decide which way!,confusion,augmented
very can't decide which way,confusion,augmented
can't decide which way?!,confusion,augmented
can't decide which way??,confusion,augmented
very can't decide which way?,confusion,augmented
Very can't decide which way!,confusion,augmented
Very can't decide which way?,confusion,augmented
very very can't decide which way,confusion,augmented
सही रास्ता क्या है!,confusion,augmented
very सही रास्ता क्या है,confusion,augmented
सही रास्ता क्या है?!,confusion,augmented
सही रास्ता क्या है??,confusion,augmented
very सही रास्ता क्या है?,confusion,augmented
Very सही रास्ता क्या है!,confusion,augmented
Very सही रास्ता क्या है?,confusion,augmented
very very सही रास्ता क्या है,confusion,augmented
uncertain about future!,confusion,augmented
very uncertain about future,confusion,augmented
uncertain about future?!,confusion,augmented
uncertain about future??,confusion,augmented
very uncertain about future?,confusion,augmented
Very uncertain about future!,confusion,augmented
Very uncertain about future?,confusion,augmented
very very uncertain about future,confusion,augmented
need clarity!,confusion,augmented
very need clarity,confusion,augmented
need clarity?!,confusion,augmented
need clarity??,confusion,augmented
very need clarity?,confusion,augmented
Very need clarity!,confusion,augmented
Very need clarity?,confusion,augmented
very very need clarity,confusion,augmented
निर्णय नहीं ले पा रहा!,confusion,augmented
very निर्णय नहीं ले पा रहा,confusion,augmented
निर्णय नहीं ले पा रहा?!,confusion,augmented
निर्णय नहीं ले पा रहा??,confusion,augmented
very निर्णय नहीं ले पा रहा?,confusion,augmented
Very निर्णय नहीं ले पा रहा!,confusion,augmented
Very निर्णय नहीं ले पा रहा?,confusion,augmented
very very निर्णय नहीं ले पा रहा,confusion,augmented
feeling happy today!,happiness,augmented
very feeling happy today,happiness,augmented
feeling happy today?!,happiness,augmented
feeling happy today??,happiness,augmented
very feeling happy today?,happiness,augmented
Very feeling happy today!,happiness,augmented
Very feeling happy today?,happiness,augmented
very very feeling happy today,happiness,augmented
life is wonderful!,happiness,augmented
very life is wonderful,happiness,augmented
life is wonderful?!,happiness,augmented
life is wonderful??,happiness,augmented
very life is wonderful?,happiness,augmented
Very life is wonderful!,happiness,augmented
Very life is wonderful?,happiness,augmented
very very life is wonderful,happiness,augmented
बहुत खुश हूँ!,happiness,augmented
very बहुत खुश हूँ,happiness,augmented
बहुत खुश हूँ?!,happiness,augmented
बहुत खुश हूँ??,happiness,augmented
very बहुत खुश हूँ?,happiness,augmented
Very बहुत खुश हूँ!,happiness,augmented
Very बहुत खुश हूँ?,happiness,augmented
very very बहुत खुश हूँ,happiness,augmented
joyful and content!,happiness,augmented
very joyful and content,happiness,augmented
joyful and content?!,happiness,augmented
joyful and content??,happiness,augmented
very joyful and content?,happiness,augmented
Very joyful and content!,happiness,augmented
Very joyful and content?,happiness,augmented
very very joyful and content,happiness,augmented
grateful for everything!,happiness,augmented
very grateful for everything,happiness,augmented
grateful for everything?!,happiness,augmented
grateful for everything??,happiness,augmented
very grateful for everything?,happiness,augmented
Very grateful for everything!,happiness,augmented
Very grateful for everything?,happiness,augmented
very very grateful for everything,happiness,augmented
आज बहुत अच्छा दिन है!,happiness,augmented
very आज बहुत अच्छा दिन है,happiness,augmented
आज बहुत अच्छा दिन है?!,happiness,augmented
आज बहुत अच्छा दिन है??,happiness,augmented
very आज बहुत अच्छा दिन है?,happiness,augmented
Very आज बहुत अच्छा दिन है!,happiness,augmented
Very आज बहुत अच्छा दिन है?,happiness,augmented
very very आज बहुत अच्छा दिन है,happiness,augmented
in a great mood!,happiness,augmented
very in a great mood,happiness,augmented
in a great mood?!,happiness,augmented
in a great mood??,happiness,augmented
very in a great mood?,happiness,augmented
Very in a great mood!,happiness,augmented
Very in a great mood?,happiness,augmented
very very in a great mood,happiness,augmented
blessed and happy!,happiness,augmented
very blessed and happy,happiness,augmented
blessed and happy?!,happiness,augmented
blessed and happy??,happiness,augmented
very blessed and happy?,happiness,augmented
Very blessed and happy!,happiness,augmented
Very blessed and happy?,happiness,augmented
very very blessed and happy,happiness,augmented
खुशी से भर गया हूँ!,happiness,augmented
very खुशी से भर गया हूँ,happiness,augmented
खुशी से भर गया हूँ?!,happiness,augmented
खुशी से भर गया हूँ??,happiness,augmented
very खुशी से भर गया हूँ?,happiness,augmented
Very खुशी से भर गया हूँ!,happiness,augmented
Very खुशी से भर गया हूँ?,happiness,augmented
very very खुशी से भर गया हूँ,happiness,augmented
how to live well!,general,augmented
very how to live well,general,augmented
how to live well?!,general,augmented
how to live well??,general,augmented
very how to live well?,general,augmented
Very how to live well!,general,augmented
Very how to live well?,general,augmented
very very how to live well,general,augmented
seeking spiritual wisdom!,general,augmented
very seeking spiritual wisdom,general,augmented
seeking spiritual wisdom?!,general,augmented
seeking spiritual wisdom??,general,augmented
very seeking spiritual wisdom?,general,augmented
Very seeking spiritual wisdom!,general,augmented
Very seeking spiritual wisdom?,general,augmented
very very seeking spiritual wisdom,general,augmented
जीवन कैसे जियूँ!,general,augmented
very जीवन कैसे जियूँ,general,augmented
जीवन कैसे जियूँ?!,general,augmented
जीवन कैसे जियूँ??,general,augmented
very जीवन कैसे जियूँ?,general,augmented
Very जीवन कैसे जियूँ!,general,augmented
Very जीवन कैसे जियूँ?,general,augmented
very very जीवन कैसे जियूँ,general,augmented
guide me on my path!,general,augmented
very guide me on my path,general,augmented
guide me on my path?!,general,augmented
guide me on my path??,general,augmented
very guide me on my path?,general,augmented
Very guide me on my path!,general,augmented
Very guide me on my path?,general,augmented
very very guide me on my path,general,augmented
need life advice!,general,augmented
very need life advice,general,augmented
need life advice?!,general,augmented
need life advice??,general,augmented
very need life advice?,general,augmented
Very need life advice!,general,augmented
Very need life advice?,general,augmented
very very need life advice,general,augmented
आध्यात्मिक मार्गदर्शन चाहिए!,general,augmented
very आध्यात्मिक मार्गदर्शन चाहिए,general,augmented
आध्यात्मिक मार्गदर्शन चाहिए?!,general,augmented
आध्यात्मिक मार्गदर्शन चाहिए??,general,augmented
very आध्यात्मिक मार्गदर्शन चाहिए?,general,augmented
Very आध्यात्मिक मार्गदर्शन चाहिए!,general,augmented
Very आध्यात्मिक मार्गदर्शन चाहिए?,general,augmented
very very आध्यात्मिक मार्गदर्शन चाहिए,general,augmented
what is the meaning of life!,general,augmented
very what is the meaning of life,general,augmented
what is the meaning of life?!,general,augmented
what is the meaning of life??,general,augmented
very what is the meaning of life?,general,augmented
Very what is the meaning of life!,general,augmented
Very what is the meaning of life?,general,augmented
very very what is the meaning of life,general,augmented
inner peace!,general,augmented
very inner peace,general,augmented
inner peace?!,general,augmented
inner peace??,general,augmented
very inner peace?,general,augmented
Very inner peace!,general,augmented
Very inner peace?,general,augmented
very very inner peace,general,augmented
मानसिक शांति कैसे पाऊँ!,general,augmented
very मानसिक शांति कैसे पाऊँ,general,augmented
मानसिक शांति कैसे पाऊँ?!,general,augmented
मानसिक शांति कैसे पाऊँ??,general,augmented
very मानसिक शांति कैसे पाऊँ?,general,augmented
Very मानसिक शांति कैसे पाऊँ!,general,augmented
Very मानसिक शांति कैसे पाऊँ?,general,augmented
very very मानसिक शांति कैसे पाऊँ,general,augmented
"तुम्हें केवल कर्म करने का अधिकार है, फलों में कभी नहीं!",stress,augmented
"तुम्हें केवल कर्म करने का अधिकार है, फलों में कभी नहीं?",stress,augmented
"very तुम्हें केवल कर्म करने का अधिकार है, फलों में कभी नहीं",stress,augmented
"You have right to perform actions, never to fruits of actions!",stress,augmented
"You have right to perform actions, never to fruits of actions?",stress,augmented
"very you have right to perform actions, never to fruits of actions",stress,augmented
"संतुलित आहार, विहार, कर्म और नींद वाला व्यक्ति!",stress,augmented
"संतुलित आहार, विहार, कर्म और नींद वाला व्यक्ति?",stress,augmented
"very संतुलित आहार, विहार, कर्म और नींद वाला व्यक्ति",stress,augmented
"One with balanced eating, sleeping, work and recreation!",stress,augmented
"One with balanced eating, sleeping, work and recreation?",stress,augmented
"very one with balanced eating, sleeping, work and recreation",stress,augmented
"सर्दी-गर्मी, सुख-दुःख तो आने-जाने वाले हैं!",stress,augmented
"सर्दी-गर्मी, सुख-दुःख तो आने-जाने वाले हैं?",stress,augmented
"very सर्दी-गर्मी, सुख-दुःख तो आने-जाने वाले हैं",stress,augmented
"Cold-heat, pleasure-pain are temporary, O Arjuna!",stress,augmented
"Cold-heat, pleasure-pain are temporary, O Arjuna?",stress,augmented
"very cold-heat, pleasure-pain are temporary, o arjuna",stress,augmented
"दुःख में जो विचलित नहीं होता, सुख में जो आसक्त नहीं!",anxiety,augmented
"दुःख में जो विचलित नहीं होता, सुख में जो आसक्त नहीं?",anxiety,augmented
"very दुःख में जो विचलित नहीं होता, सुख में जो आसक्त नहीं",anxiety,augmented
"One not disturbed in misery, nor attached to happiness!",anxiety,augmented
"One not disturbed in misery, nor attached to happiness?",anxiety,augmented
"very one not disturbed in misery, nor attached to happiness",anxiety,augmented
"हे अर्जुन, मन चंचल है परंतु अभ्यास से वश में हो सकता है!",anxiety,augmented
"हे अर्जुन, मन चंचल है परंतु अभ्यास से वश में हो सकता है?",anxiety,augmented
"very हे अर्जुन, मन चंचल है परंतु अभ्यास से वश में हो सकता है",anxiety,augmented
"Mind is restless but can be controlled by practice, O Arjuna!",anxiety,augmented
"Mind is restless but can be controlled by practice, O Arjuna?",anxiety,augmented
"very mind is restless but can be controlled by practice, o arjuna",anxiety,augmented
संशयग्रस्त व्यक्ति न तो इस लोक में सुखी होता है न परलोक में!,anxiety,augmented
संशयग्रस्त व्यक्ति न तो इस लोक में सुखी होता है न परलोक में?,anxiety,augmented
very संशयग्रस्त व्यक्ति न तो इस लोक में सुखी होता है न परलोक में,anxiety,augmented
The doubting soul has no happiness in this world or next!,anxiety,augmented
The doubting soul has no happiness in this world or next?,anxiety,augmented
very the doubting soul has no happiness in this world or next,anxiety,augmented
"हे पार्थ, कायरता मत दिखाओ, यह तुझे शोभा नहीं देती!",motivation,augmented
"हे पार्थ, कायरता मत दिखाओ, यह तुझे शोभा नहीं देती?",motivation,augmented
"very हे पार्थ, कायरता मत दिखाओ, यह तुझे शोभा नहीं देती",motivation,augmented
"Do not yield to unmanliness, O Arjuna, it does not become you!",motivation,augmented
"Do not yield to unmanliness, O Arjuna, it does not become you?",motivation,augmented
"very do not yield to unmanliness, o arjuna, it does not become you",motivation,augmented
इसलिए तू उठ खड़ा हो और यश प्राप्त कर!,motivation,augmented
इसलिए तू उठ खड़ा हो और यश प्राप्त कर?,motivation,augmented
very इसलिए तू उठ खड़ा हो और यश प्राप्त कर,motivation,augmented
Therefore arise and attain glory!,motivation,augmented
Therefore arise and attain glory?,motivation,augmented
very therefore arise and attain glory,motivation,augmented
"श्रेष्ठ व्यक्ति जैसा करता है, दूसरे वैसा ही करते हैं!",motivation,augmented
"श्रेष्ठ व्यक्ति जैसा करता है, दूसरे वैसा ही करते हैं?",motivation,augmented
"very श्रेष्ठ व्यक्ति जैसा करता है, दूसरे वैसा ही करते हैं",motivation,augmented
"Whatever a great man does, others follow!",motivation,augmented
"Whatever a great man does, others follow?",motivation,augmented
"very whatever a great man does, others follow",motivation,augmented
"नम्रता से पूछो, सेवा करो, ज्ञानी से सीखो!",confusion,augmented
"नम्रता से पूछो, सेवा करो, ज्ञानी से सीखो?",confusion,augmented
"very नम्रता से पूछो, सेवा करो, ज्ञानी से सीखो",confusion,augmented
Learn from wise by humble inquiry and service!,confusion,augmented
Learn from wise by humble inquiry and service?,confusion,augmented
very learn from wise by humble inquiry and service,confusion,augmented
ईश्वर सबके हृदय में विराजमान है!,confusion,augmented
ईश्वर सबके हृदय में विराजमान है?,confusion,augmented
very ईश्वर सबके हृदय में विराजमान है,confusion,augmented
The Lord is situated in everyone's heart!,confusion,augmented
The Lord is situated in everyone's heart?,confusion,augmented
very the lord is situated in everyone's heart,confusion,augmented
"जो निरंतर मुझसे प्रेम से जुड़े हैं, उन्हें मैं ज्ञान देता हूँ!",confusion,augmented
"जो निरंतर मुझसे प्रेम से जुड़े हैं, उन्हें मैं ज्ञान देता हूँ?",confusion,augmented
"very जो निरंतर मुझसे प्रेम से जुड़े हैं, उन्हें मैं ज्ञान देता हूँ",confusion,augmented
"To those constantly devoted with love, I give understanding!",confusion,augmented
"To those constantly devoted with love, I give understanding?",confusion,augmented
"very to those constantly devoted with love, i give understanding",confusion,augmented
"जो बाहरी सुखों में आसक्त नहीं, वह आत्मा में सुख पाता है!",happiness,augmented
"जो बाहरी सुखों में आसक्त नहीं, वह आत्मा में सुख पाता है?",happiness,augmented
"very जो बाहरी सुखों में आसक्त नहीं, वह आत्मा में सुख पाता है",happiness,augmented
One not attached to external pleasures finds happiness within!,happiness,augmented
One not attached to external pleasures finds happiness within?,happiness,augmented
very one not attached to external pleasures finds happiness within,happiness,augmented
शांत मन वाला योगी परम सुख पाता है!,happiness,augmented
शांत मन वाला योगी परम सुख पाता है?,happiness,augmented
very शांत मन वाला योगी परम सुख पाता है,happiness,augmented
The yogi with peaceful mind attains highest happiness!,happiness,augmented
The yogi with peaceful mind attains highest happiness?,happiness,augmented
very the yogi with peaceful mind attains highest happiness,happiness,augmented
"जो खाना आयु, बल, सेहत और खुशी बढ़ाएं!",general,augmented
"जो खाना आयु, बल, सेहत और खुशी बढ़ाएं?",general,augmented
"very जो खाना आयु, बल, सेहत और खुशी बढ़ाएं",general,augmented
"Foods that increase life, strength, health and happiness!",general,augmented
"Foods that increase life, strength, health and happiness?",general,augmented
"very foods that increase life, strength, health and happiness",general,augmented
"विनम्रता, अहिंसा, धैर्य और सरलता - यही ज्ञान है!",general,augmented
"विनम्रता, अहिंसा, धैर्य और सरलता - यही ज्ञान है?",general,augmented
"very विनम्रता, अहिंसा, धैर्य और सरलता - यही ज्ञान है",general,augmented
"Humility, non-violence, patience, simplicity - these are knowledge!",general,augmented
"Humility, non-violence, patience, simplicity - these are knowledge?",general,augmented
"very humility, non-violence, patience, simplicity - these are knowledge",general,augmented
"योग में स्थित होकर कर्म करो, आसक्ति छोड़कर!",general,augmented
"योग में स्थित होकर कर्म करो, आसक्ति छोड़कर?",general,augmented
"very योग में स्थित होकर कर्म करो, आसक्ति छोड़कर",general,augmented
"Perform actions staying in yoga, abandoning attachment!",general,augmented
"Perform actions staying in yoga, abandoning attachment?",general,augmented
"very perform actions staying in yoga, abandoning attachment",general,augmented
"धृतराष्ट्र बोले- हे संजय! धर्मभूमि कुरुक्षेत्र में एकत्रित, युद्ध की इच्छावाले मेरे और पाण्डु के पुत्रों ने क्या किया?!",general,augmented
"धृतराष्ट्र बोले- हे संजय! धर्मभूमि कुरुक्षेत्र में एकत्रित, युद्ध की इच्छावाले मेरे और पाण्डु के पुत्रों ने क्या किया??",general,augmented
"very धृतराष्ट्र बोले- हे संजय! धर्मभूमि कुरुक्षेत्र में एकत्रित, युद्ध की इच्छावाले मेरे और पाण्डु के पुत्रों ने क्या किया?",general,augmented
"Dhrtarashtra asked of Sanjaya: O SANJAYA, what did my warrior sons and those of Pandu do when they were gathered at KURUKSHETRA, the field of religious activities? Tell me of those happenings.!",general,augmented
"Dhrtarashtra asked of Sanjaya: O SANJAYA, what did my warrior sons and those of Pandu do when they were gathered at KURUKSHETRA, the field of religious activities? Tell me of those happenings.?",general,augmented
"very dhrtarashtra asked of sanjaya: o sanjaya, what did my warrior sons and those of pandu do when they were gathered at kurukshetra, the field of religious activities? tell me of those happenings.",general,augmented
संजय बोले- उस समय राजा दुर्योधन ने व्यूहरचनायुक्त पाण्डवों की सेना को देखा और द्रोणाचार्य के पास जाकर यह वचन कहा|!,general,augmented
संजय बोले- उस समय राजा दुर्योधन ने व्यूहरचनायुक्त पाण्डवों की सेना को देखा और द्रोणाचार्य के पास जाकर यह वचन कहा|?,general,augmented
very संजय बोले- उस समय राजा दुर्योधन ने व्यूहरचनायुक्त पाण्डवों की सेना को देखा और द्रोणाचार्य के पास जाकर यह वचन कहा|,general,augmented
"Sanjaya explained: Now seeing that the army of the PANDAVAS was set up properly, the Price DURYODHANA called his teacher, DRONA, to his side and spoke these words:!",general,augmented
"Sanjaya explained: Now seeing that the army of the PANDAVAS was set up properly, the Price DURYODHANA called his teacher, DRONA, to his side and spoke these words:?",general,augmented
"very sanjaya explained: now seeing that the army of the pandavas was set up properly, the price duryodhana called his teacher, drona, to his side and spoke these words:",general,augmented
हे आचार्य! आपके बुद्धिमान्‌ शिष्य द्रुपदपुत्र धृष्टद्युम्न द्वारा व्यूहाकार खड़ी की हुई पाण्डुपुत्रों की इस बड़ी भारी सेना को देखिए|!,general,augmented
हे आचार्य! आपके बुद्धिमान्‌ शिष्य द्रुपदपुत्र धृष्टद्युम्न द्वारा व्यूहाकार खड़ी की हुई पाण्डुपुत्रों की इस बड़ी भारी सेना को देखिए|?,general,augmented
very हे आचार्य! आपके बुद्धिमान्‌ शिष्य द्रुपदपुत्र धृष्टद्युम्न द्वारा व्यूहाकार खड़ी की हुई पाण्डुपुत्रों की इस बड़ी भारी सेना को देखिए|,general,augmented
"Behold O, Master, the mighty army of the sons of PANDU, led by the son of DRUPADA, your talented disciple.!",general,augmented
"Behold O, Master, the mighty army of the sons of PANDU, led by the son of DRUPADA, your talented disciple.?",general,augmented
"very behold o, master, the mighty army of the sons of pandu, led by the son of drupada, your talented disciple.",general,augmented
"very इस सेना में बड़े-बड़े धनुषों वाले तथा युद्ध में भीम और अर्जुन के समान शूरवीर सात्यकि और विराट तथा महारथी राजा द्रुपद, धृष्टकेतु और चेकितान तथा बलवान काशिराज, पुरुजित, कुन्तिभोज और मनुष्यों में श्",motivation,augmented
"very present here are the mighty archers, peers or friends, in warfare, of arjuna and bhima. their names are: yuyudhana, virata and drupada, the great chariot-warrior. other great warriors were also p",motivation,augmented
