text,emotion
"Some offer, in the fire of self-control, one of their senses such as their hearing. (This signifies that the signifies has no attachment to any of his senses.)Others offer sensual objects (objects of ",general
दूसरे योगीजन इन्द्रियोंकी सम्पूर्ण क्रियाओंको और प्राणों की समस्त क्रियाओंको ज्ञानसे प्रकाशित आत्मसंयमयोगरूप अग्निमें हवन किया करते हैं|,general
"Some Yogis sacrifice all the functions of their senses ans all their vital functions of life, into the fire of Yoga, in the shape of self control, which is kindled by Gyan (wisdom). (This signifies th",general
"कई पुरुष द्रव्यसम्बन्धी यज्ञ करनेवाले हैं, कितने ही तपस्यारूप यज्ञ करनेवाले हैं तथा दूसरे कितने ही योगरूप यज्ञ करनेवाले हैं, कितने ही अहिंसादि तीक्ष्ण व्रतोंसे युक्त यत्नशील पुरुष स्वाध्यायरूप ज्ञानयज",general
Sacrifices come in many forms. Giving away material wealth for charity is a sacrifice. Austerity is a sacrifice. Yoga is a sacrifice. Making vows and promises involve sacrifice. Even self-study is a s,general
"दूसरे कितने ही योगीजन अपानवायुमें प्राणवायुको हवन करते हैं, वैसे ही अन्य योगीजन प्राणवायुमें अपानवायुको हवन करते हैं तथा अन्य कितने ही नियमित आहार करनेवाले प्राणायामपरायण पुरुष प्राण और अपानकी गतिको र",stress
"Other Yogis (wise men) perform sacrifice by controlling the amount of breaths they take. By holding in their breath for a long periond of time whilepronouncing My name, they increase their life’s long",stress
"हे कुरुश्रेष्ठ अर्जुन! यज्ञसे बचे हुए अमृतका अनुभव करनेवाले योगीजन सनातन परब्रह्म परमात्माको प्राप्त होते हैं। और यज्ञ न करनेवाले पुरुषके लिये तो यह मनुष्यलोक भी सुखदायक नहीं है, फिर परलोक है कैसे सुख",stress
"O Arjuna, only those people who have sacrificed to achieve wisdom and knowledge of Gyan, go to Brahma, (the creator of all beings and God of Wisdom in the World). Without performing some sort of sacri",stress
"इसी प्रकार और भी बहुत तरहके यज्ञ वेदकी वाणीमें विस्तारसे कहे गये हैं। उन सबको तू मन, इन्द्रिय और शरीरकी क्रियाद्वारा सम्पन्न होनेवाले जान, इस प्रकार तत्त्वसे जानकर उनके अनुष्ठानद्वारा तू कर्मबन्धनसे स",stress
"The Lord continued:O Arjuna, many sacrifices are mentioned extensively throughout the Vedas. All of these sacrifices involve some sort of action or Karma to be performed. With this knowledge in mind, ",stress
"हे परंतप अर्जुन ! द्रव्यमय यज्ञकी अपेक्षा ज्ञानयज्ञ अत्यन्त श्रेष्ठ है, तथा यावन्मात्र सम्पूर्ण कर्म ज्ञानमें समाप्त हो जाते हैं|",stress
"O Arjuna, sacrifice of wisdom (Gyan) is always better than sacrifice of material objects because all actions end with Gyan.",stress
"उस ज्ञानको तू तत्त्वदर्शी ज्ञानियोंके पास जाकर समझ, उनको भलीभाँति दण्डवत् प्रणाम करनेसे, उनकी सेवा करनेसे और कपट छोड़कर सरलतापूर्वक प्रश्न करनेसे वे परमात्मतत्त्वको भलीभाँति जाननेवाले ज्ञानी महात्मा त",motivation
"The Lord advised:O Arjuna, learn the principles of Gyan and ask questions about Gyan respectfully and with determination, from those who fully understand the principles of Gyan. Thay will explain “Gya",motivation
जिसको जानकर फिर तू इस प्रकार मोहको नहीं प्राप्त होगा तथा हे अर्जुन ! जिस ज्ञानके द्वारा तू सम्पूर्ण भूतोंको नि:शेषभावसे पहले अपनेमें’ और पीछे मुझ सच्चिदानन्दघन परमात्मामें देखेगा|,general
"The Lord continued:O Arjuna, through Gyan, you will see all beings within yourself, and thereafter, all beings in Me.",general
यदि तू अन्य सब पापियोंसे भी अधिक पाप करनेवाला है; तो भी तू ज्ञानरूप नौकाद्वारा नि:संदेह तू सम्पूर्ण पाप-समुद्रसे भलीभाँति तर जायगा|,general
"O Arjuna, even if you are the greatest sinner in the world, this river of sins can be crossed with the boat of Gyan.",general
"क्योंकि हे अर्जुन ! जैसे प्रज्वलित अग्नि ईंधनोंको भस्ममय कर देता है, वैसे ही ज्ञानरूप अग्नि सम्पूर्ण कर्मोंको भस्ममय कर देता है|",stress
"O Arjuna, as the burnig fire reduces fuel to ashes, in this same way, Karma (attached Karma binding a person to the material world), is burnt down with the fire of Gyan.",stress
इस संसारमें ज्ञानके समान पवित्र करनेवाला निःसंदेह कुछ भी नहीं है । उस ज्ञानको कितने ही कालसे कर्मयोगके द्वारा शुद्धान्तःकरण हुआ मनुष्य अपने आप ही आत्मामें पा लेता है|,general
"In this world, O Arjuna, there is no greater purifier than Gyan or wisdom itself. The person who has mastered Yoga to perfection feels wisdom in his soul at the proper time.",general
"जितेन्द्रिय, साधनपरायण और श्रद्धावान् मनुष्य ज्ञानको प्राप्त होता है तथा ज्ञानको प्राप्त होकर वह बिना विलम्बके – तत्काल ही भगवत्प्राप्तिरूप परम – शान्तिको प्राप्त हो जाता है|",happiness
"To abtain Gyan, one must conquer the senses, and develop a real devotion and faith towards the Lord. When one obtains Gyan, he has discovered the key to Supreme peace.",happiness
"विवेकहीन और श्रद्धारहित संशययुक्त मनुष्य परमार्थसे अवश्य भ्रष्ट हो जाता है। ऐसे संशययुक्त मनुष्यके लिये न यह लोक है, न परलोक है और न सुख ही है|",anxiety
"If a person is ignorant of the Knowledge of God, the person who lacks faith in God and the one who is full of doubts in his own self, will undoubtedly be destroyed. If one has doubts, he can never ach",anxiety
"हे धनञ्जय ! जिसने कर्मयोगकी विधिसे समस्त कर्मोंका परमात्मामें अर्पण कर दिया है और जिसने विवेकद्वारा समस्त संशयोंका नाश कर दिया है, ऐसे वशमें किये हुए अन्तःकरणवाले पुरुषको कर्म नहीं बाँधते|",stress
"One who has rid himself of attached Karma by practising Yoga and one who has rid himself of doubts by achieving Gyan, he is a self-realized person and is not bound by attached Karma.",stress
इसलिये हे भरतवंशी अर्जुन ! तू हृदयमें स्थित इस अज्ञानजनित अपने संशयका विवेकज्ञानरूप तलवारद्वारा छेदन करके समत्वरूप कर्मयोगमें स्थित हो जा और युद्धके लिये खड़ा हो जा|,anxiety
"Hence, be established in yoga by cutting the ignorance born doubt about the self with the sword of knowledge. Stand up, O Bharata.",anxiety
"अर्जुन बोले– हे कृष्ण ! आप कर्मोंके संन्यासकी और फिर कर्मयोगकी प्रशंसा करते हैं । इसलिये इन दोनोंमेंसे जो एक मेरे लिये भलीभाँति निश्चित कल्याणकारक साधन हो, उसको कहिये|",confusion
"Arjuna asked the Great Lord: Dear Krishna, I am still confused. I have heard praise of Yoga as well as of Sannyaas (Holy Pilgrimage), from You. Which one of these two O Lord, is the best path for me?",confusion
"श्रीभगवान् बोले- कर्मसंन्यास और कर्मयोग— ये दोनों ही परम कल्याणके करनेवाले हैं, परन्तु उन दोनोंमें भी कर्मसंन्याससे कर्मयोग साधनमें सुगम होनेसे श्रेष्ठ है|",confusion
"Oh Arjuna, both the paths of Yoga and Sannyaas lead one to supreme bliss and happiness. However, I shall always regard Yoga as the better path to the attainment of supreme peace and unity with Me, tha",confusion
"हे अर्जुन! जो पुरुष न किसीसे द्वेष करता है और न किसीकी आकांक्षा करता है, वह कर्मयोगी सदा संन्यासी ही समझने योग्य है; क्योंकि राग द्वेषादि द्वन्द्वोंसे रहित पुरुष सुखपूर्वक संसारबन्धनसे मुक्त हो जाता ह",anxiety
"Oh Arjuna a true Sannyaasi is one who has no doubts about anything he does or encounters in his life; who has no enemies whatsoever, and above all, who is free from all desires (for material objects).",anxiety
"उपर्युक्त संन्यास और कर्मयोगको मूर्खलोग पृथक् पृथक् फल देनेवाले कहते हैं न कि पण्डितजन, क्योंकि दोनोंमेंसे एकमें भी सम्यक् प्रकारसे स्थित पुरुष दोनोंके फलरूप परमात्माको प्राप्त होता है|",confusion
"Oh Arjuna, in essense, Yoga and Sannyaas are the same because both of these achieve the same goal. Those who consider Yoga and Sannyaas as two different paths leading to the achievement of two differe",confusion
"ज्ञानयोगियों द्वारा जो परमधाम प्राप्त किया जाता है, कर्मयोगियों द्वारा भी वही प्राप्त किया जाता है। इसलिये जो पुरुष ज्ञानयोग और कर्मयोगको फलरूपमें एक देखता है, वही यथार्थ देखता है|",confusion
"Yoga or Sannyaas (together known as Sankyoga) both attain the same goal for he who follows either of these paths. Only he who considers Yoga and Sannyaas as one, sees the ultimate Truth (the Lord).",confusion
"परन्तु हे अर्जुन ! कर्मयोगके बिना संन्यास अर्थात् मन, इन्द्रिय और शरीरद्वारा होनेवाले सम्पूर्ण कर्मोंमें कर्तापनका त्याग प्राप्त होना कठिन है और भगवत्स्वरूपको मनन करनेवाला कर्मयोगी परब्रह्म परमात्माको",stress
"The Blessed Lord spoke in His Divine voice:O my dear Arjuna, in order for one to achieve Sannyaas, he must practise Karmyoga (doing Karma or actions without attachment or desire to see the results of ",stress
"जिसका मन अपने वशमें है, जो जितेन्द्रिय एवं विशुद्ध अन्तःकरणवाला है और सम्पूर्ण प्राणियोंका आत्मरूप परमात्मा ही जिसका आत्मा है, ऐसा कर्मयोगी कर्म करता हुआ भी लिप्त नहीं होता|",happiness
The Lord spoke onwards:The Karmyogi is a purified being who has conquered the self. He does not centre his life around himeself but around the achievement of being one with God.He detaches himeself fr,happiness
"तत्त्वको जाननेवाला सांख्ययोगी तो देखता हुआ, सुनता हुआ, स्पर्श करता हुआ, सूँघता हुआ, भोजन करता हुआ, गमन करता हुआ, सोता हुआ, श्वास लेता हुआ, बोलता हुआ, त्यागता हुआ, ग्रहण करता हुआ तथा आँखोंको खोलता और म",stress
"He who comes to the realization that, although he is physically performing actions such as seeing, hearing, touching, smelling, eating, walking, sleeping, breathing, speaking, receiving, sacrificing, ",stress
"जो पुरुष सब कर्मोंको परमात्मामें अर्पण करके और आसक्तिको त्यागकर कर्म करता है, वह पुरुष जलसे कमलके पत्तेकी भाँति पापसे लिप्त नहीं होता|",stress
"The Lord declared: One who leaves all the results of his actions to God and performs Karma without attachment, is immune to all sins of the world in the same way as a lotus leaf remains unmoistened wh",stress
"कर्मयोगी ममत्वबुद्धिरहित केवल इन्द्रिय, मन, बुद्धि और शरीरद्वारा भी आसक्तिको त्यागकर अन्तःकरणकी शुद्धिके लिये कर्म करते हैं|",stress
"O Arjuna, Yogis purify their souls by abolishing any feelings of attachment within themselves by performing Karma through mind, body, intellect, and senses.",stress
कर्मयोगी कर्मोंके कर्मोंके फलका त्याग करके भगवत्प्राप्तिरूप शान्तिको प्राप्त होता है और सकाम पुरुष कामनाकी प्रेरणासे फलमें आसक्त होकर बँधता है|,stress
"When a Yogi has reached a state of true self-realization by leaving all fruits and results of Karma in the hands of the Lord, he achieves true peace and happiness.However, he who does Karma (actions) ",stress
अन्तःकरण जिसके वशमें है ऐसा सांख्ययोगका आचरण करनेवाला पुरुष न करता हुआ और न करवाता हुआ ही नवद्वारोंवाले शरीररूप घरमें सब कर्मोंको मनसे त्यागकर आनन्दपूर्वक सच्चिदानन्दघन परमात्माके स्वरूपमें स्थित रहता,stress
"A person, having self-control, and mentally freeing himself of all actions (by the uninterest in results of actions), in really performs no actions whatsoever. By mentally detaching himself of all Kar",stress
"परमेश्वर मनुष्योंके न तो कर्तापनकी, न कर्मोंकी और न कर्मफलके संयोगकी ही रचना करते हैं; किन्तु स्वभाव ही बर्त रहा है|",stress
"The Lord does not create the performance of actions (or Karma ), nor Karma itself, nor even the result of Karma. It is simply all due to nature performing its function in the world.(However, nature de",stress
"सर्वव्यापी परमेश्वर भी न किसीके पापकर्मको और न किसीके शुभकर्मको ही ग्रहण करता है; किन्तु अज्ञानके द्वारा ज्ञान ढका हुआ है, उससे सब अज्ञानी मनुष्य मोहित हो रहे हैं|",stress
"I, the all pervading Lord receives neither the good nor the bad Karma of anyone. People are from time to time deluded because their Knowledge (Gyan) is Covered up or blinded by ignorance (Agyan).",stress
"परन्तु जिनका वह अज्ञान परमात्माके तत्त्वज्ञानद्वारा नष्ट कर दिया गया है, उनका वह ज्ञान सूर्यके सदृश उस सच्चिदानन्दघन परमात्माको प्रकाशित कर देता है|",general
The Lord continued: People’s achievement of knowledge of their SELF has allowed them to destroy their ignorance or remove their lack of knowledge (Agyan). They soon find that the knowledge they acquir,general
"जिनका मन तद्रूप हो रहा है, जिनकी बुद्धि तद्रूप हो रही है और सच्चिदानन्दघन परमात्मामें ही जिनकी निरन्तर एकीभावसे स्थिति है, ऐसे तत्परायण पुरुष ज्ञानके द्वारा पापरहित होकर अपुनरावृत्तिको अर्थात् परमगतिक",happiness
"The Lord spoke: O Arjuna, total liberation and everlasting peace is achieved only by those whose mind and intellect constantly dwells on God and who have destroyed all sin by achieving Gyan (Knowledge",happiness
"वे ज्ञानीजन विद्या और विनययुक्त ब्राह्मणमें तथा गौ, हाथी, कुत्ते और चाण्डालमें भी समदर्शी ही होते हैं|",general
"The wise men treat everybody as equals O Arjuna, whether it be a learned and cultured Brahman, a cow, an elephant, or a dog and an outcaste. He not differentiate between anybody.",general
"जिनका मन समभावमें स्थित है, उनके द्वारा इस जीवित अवस्थामें ही सम्पूर्ण संसार जीत लिया गया है, क्योंकि सच्चिदानन्दघन परमात्मा निर्दोष और सम है, इससे वे सच्चिदानन्दघन परमात्मामें ही स्थित हैं|",general
"O Arjuna, those who are even-minded and treat everybody as equals in all respects, have reached the ultimate goal of life and have conquered the whole world because God is perfect, without defect, and",general
"जो पुरुष प्रियको प्राप्त होकर हर्षित नहीं हो और अप्रियको प्राप्त होकर उद्विग्न न हो, वह स्थिरबुद्धि, संशयरहित, ब्रह्मवेत्ता पुरुष सच्चिदानन्दघन परब्रह्म परमात्मामें एकीभावसे नित्य स्थित है|",anxiety
"One truly becomes established in God when neither good circumstances make him happy, no bad Circumstance make him miserable. When a person reaches this type of balance in intellect and emotion, withou",anxiety
"बाहरके विषयों में आसक्तिरहित अन्तःकरणवाला साधक आत्मामें स्थित जो ध्यानजनित सात्त्विक आनन्द है, उसको प्राप्त होता है; तदनन्तर वह सच्चिदानन्दघन परब्रह्म परमात्माके ध्यानरूप योगमें अभिन्नभावसे स्थित पुरु",anxiety
"O Arjuna, a person who has totally detached himself from the material world and is happy and satisfied within his own self, attains eternal peace. When a person is truly established in the Yoga of God",anxiety
"जो ये इन्द्रिय तथा विषयोंके संयोगसे उत्पन्न होनेवाले सब भोग हैं, यद्यपि विषयी पुरुषोंको सुखरूप भासते हैं तो भी दुःखके ही हेतु हैं और आदि अन्तवाले अर्थात् अनित्य हैं। इसलिये हे अर्जुन ! । बुद्धिमान् वि",happiness
"When one’s senses make contact with sensual, material goods, Arjuna, these desire-evoking objects are the cause of misery (these objects may appear enjoyable to material pleasure-seekers).These enjoym",happiness
"जो पुरुष अन्तरात्मामें ही सुखवाला है, आत्मामें ही रमण करनेवाला है तथा जो आत्मामें ही ज्ञानवाला है, वह सच्चिदानन्दघन परब्रह्म परमात्माके साथ एकीभावको प्राप्त सांख्ययोगी शान्त ब्रह्मको प्राप्त होता है|",happiness
"One who is truly happy, peaceful and enlightened with his Soul, that wise man (Yogi) has combined with the supreme Soul (God) as one and attains freedom from all bondages to the world.",happiness
"जिनके सब पाप नष्ट हो गये हैं, जिनके सब संशय ज्ञानके द्वारा निवृत्त हो गये हैं, जो सम्पूर्ण प्राणियोंके हितमें रत हैं और जिनका जीता हुआ मन निश्चलभावसे परमात्मामें स्थित है, वे ब्रह्मवेत्ता पुरुष शान्त ",happiness
"Those wise men or sages who have abolished and destroyed all their sins with the achievement of true Gyan (Knowledge), and who have devoted themselves to the welfare of other beings, attain supreme an",happiness
"काम-क्रोधसे रहित, जीते हुए चित्तवाले, परब्रह्म परमात्माका साक्षात्कार किये हुए ज्ञानी पुरुषों के लिये सब ओरसे शान्त परब्रह्म परमात्मा ही परिपूर्ण हैं|",general
"O Arjuna, all of those wise men (Yogis) who have learned to control their minds, have learned to conquer and abolish all of the desires and anger within them, and have truly realized God, attain freed",general
"बाहरके विषय-भोगोंको न चिन्तन करता हुआ बाहर ही निकालकर और नेत्रोंकी दृष्टिको भृकुटीके बीचमें स्थित करके तथा नासिकामें विचरनेवाले प्राण और अपानवायुको सम करके, जिसकी इन्द्रियाँ, मन और बुद्धि जीती हुई हैं",anxiety
"A person who has totally detached himself from sense objects that give temporary pleasure and enjoyment, he who has learned to control and equalize the number of breaths going outwards and inwards thr",anxiety
"मेरा भक्त मुझको सब यज्ञ और तपोंका भोगनेवाला, सम्पूर्ण लोकोंके ईश्वरोंका भी ईश्वर तथा सम्पूर्ण भूत-प्राणियोंका सुहृद् अर्थात् स्वार्थरहित दयालु और प्रेमी, ऐसा तत्त्वसे जानकर शान्तिको प्राप्त होता है|",happiness
"The Lord declared:O Arjuna, he who shall consider ME the enjoyer of sacrifices and all that is internally pure, and who is devoted to ME, the God of all worlds and well-wisher of all beings, attains t",happiness
"श्रीभगवान् बोले—जो पुरुष कर्मफलका आश्रय न लेकर करनेयोग्य कर्म करता है, वह संन्यासी तथा योगी है और केवल अग्निका त्याग करनेवाला संन्यासी नहीं है तथा केवल क्रियाओंका त्याग करनेवाला योगी नहीं है|",stress
Lord Krishna continued: A Sannyaasi is one who performs action or duty (Karma) without desiring any reward or other results for his actions. One cannot be a Sannyaasi or a Yogi by simply not petorming,stress
"हे अर्जुन ! जिसको संन्यास’ ऐसा कहते हैं, उसीको तू योग’ जान; क्योंकि संकल्पोंका त्याग न करनेवाला कोई भी पुरुष योगी नहीं होता|",general
"O Arjuna, consider Sannyaas and Yoga as one and the same; just as one becomes a Sannyassi by giving up all desires, similarly to be a Yogi one must do the same.",general
"योगमें आरूढ़ होनेकी इच्छावाले मननशील पुरुषके लिये योगकी प्राप्तिमें निष्कामभावसे कर्म करना ही हेतु कहा जाता है और योगारूढ़ हो जानेपर उस योगारूढ़ पुरुषका जो सर्वसंकल्पोंका अभाव है, वही कल्याणमें हेतु क",stress
"For one who wishes to establish himself in the divinity of Yoga. O Arjuna, he must follow the method of doing Karma without desires of any sort. For, giving up all worldly thoughts is the path that wi",stress
"जिस कालमें न तो इन्द्रियोंके भोगोंमें और न कर्मोंमें ही आसक्त होता है, उस कालमें सर्वसंकल्पोंका त्यागी पुरुष योगारूढ़ कहा जाता है|",stress
"When one is no longer attached to sensual objects or to the Karma that he does, and when he has totally rid himself of all desires, at that time, a person is considered to be fully and undoubtedly est",stress
अपने द्वारा अपना संसार- समुद्रसे उद्धार करे और अपनेको अधोगतिमें न डाले; क्योंकि यह मनुष्य आप ही तो अपना मित्र है और आप ही अपना शत्रु है|,stress
"Dear Arjuna, one should lift himself through his own efforts. He success or failure in performing his Karma should be the result of his own doing. Should a man fail, he should not degrade himself, O A",stress
"जिस जीवात्माद्वारा मन और इन्द्रियोंसहित शरीर जीता हुआ है, उस जीवात्माका तो वह आप ही मित्र है और जिसके द्वारा मन तथा इन्द्रियोंसहित शरीर नहीं जीता गया है, उसके लिये वह आप ही शत्रुके सदृश शत्रुतामें बर्",general
"The true self (soul) is only its own friend if it is free from attachment and in control of its own mind, body and senses. However, dear Arjuna, if one’s soul is not in control of mind body and senses",general
"सरदी गरमी और सुख दुःखादिमें तथा मान – – और अपमानमें जिसके अन्तःकरणकी वृत्तियाँ भलीभाँति शान्त हैं, ऐसे स्वाधीन आत्मावाले पुरुष ज्ञानमें सच्चिदानन्दघन परमात्मा सम्यक् स्थित है अर्थात् उसके ज्ञानमें परम",happiness
"One who has truly achieved peace with the self and a balance in cold and heat, joy and sorrow, respect and disrespect, has a purified and liberated soul, God dwells in souls such as these and the soul",happiness
"जिसका अन्तःकरण ज्ञान विज्ञानसे तृप्त है, – जिसकी स्थिति विकाररहित है, जिसकी इन्द्रियाँ भलीभाँति जीती हुई हैं और जिसके लिये मिट्टी, पत्थर और सुवर्ण समान हैं, वह योगी युक्त अर्थात् भगवत्प्राप्त है, ऐसे ",happiness
"he Lord explained: When one’s mind is at peace and fully contented with the Gyan (Knowledge or wisdom) it has acquired, one whose mind is constantly stable and fixed in God, who has controlled his sen",happiness
"सुहृद्’, मित्र, वैरी, उदासीन, मध्यस्थ , द्वेष्य और बन्धुगणोंमें, धर्मात्माओंमें और पापियोंमें भी समानभाव रखनेवाला अत्यन्त श्रेष्ठ है|",general
"One who thinks about and behaves with dear ones, friends, enemies, neutral ones, mediators malicious people, relatives, saints and sinful people, in the same manner, is truly a superior person.",general
"मन और इन्द्रियोंसहित शरीरको वशमें रखनेवाला, आशारहित और संग्रहरहित योगी अकेला ही एकान्त स्थानमें स्थित होकर आत्माको निरन्तर परमात्मामें लगावे|",stress
"Harboring insatiable lust, full of hypocrisy, pride and arrogance, the demoniac cling to their false tenets. Thus illusioned, they are attracted to the impermanent and work with impure resolve.",stress
"शुद्ध भूमिमें, जिसके ऊपर क्रमश: कुशा, मृगछाला और वस्त्र बिछे हैं, जो न बहुत ऊँचा है और न बहुत नीचा, ऐसे अपने आसनको स्थिर स्थापन करके",general
"For proper meditation, the Yogi should seek a clear spot, covered with grass, deer skin and/or clothing, which is neither very high nor very low, to seat himself.",general
उस आसनपर बैठकर चित्त और इन्द्रियोंकी क्रियाओंको वशमें रखते हुए मनको ए करके अन्तःकरणकी शुद्धिके लिये योगका अभ्यास करे|,general
"He should then practice Yoga for the purpose of purifying his mind and soul, focusing his thoughts on one point (God) at all times, and fully controlling the function of mind and senses.",general
"काया, सिर और गलेको समान एवं अचल धारण करके और स्थिर होकर, अपनी नासिका अग्रभागपर दृष्टि जमाकर, अन्य दिशाओंको न देखता हुआ|",confusion
"The Lord instructed Arjuna:While meditating one must keep the head, neck and torso (upper body) as straight and as steady as possible, without even a slight movement.firmly looking at the tip of the n",confusion
"ब्रह्मचारीके व्रतमें स्थित, भयरहित तथा भलीभाँति शान्त अन्तःकरणवाला सावधान योगी मनको रोककर मुझमें चित्तवाला और मेरे परायण होकर स्थित होवे|",stress
"It is said the fruit of actions performed in the mode of goodness bestow pure results. Actions done in the mode of passion result in pain, while those performed in the mode of ignorance result in dark",stress
वशमें किये हुए मनवाला योगी इस प्रकार आत्माको निरन्तर मुझ परमेश्वरके स्वरूपमें लगाता हुआ मुझमें रहनेवाली परमानन्दकी पराकाष्ठारूप शान्तिको प्राप्त होता है|,happiness
"In this way, the true, self-controlled Yogi. Will inevitably attain eternal peace and be in the highest state of bliss by fixing his mind on Me during (proper) meditation.",happiness
"हे अर्जुन! यह योग न तो बहुत खानेवालेका, न बिलकुल न खानेवालेका, न बहुत शयन करनेके स्वभाववालेका और न सदा जागनेवालेका ही सिद्ध होता है|",general
"There must be a constant balance in everything a Yogi does. Eating too much or eating very little, sleeping too much or sleeping very little, for example, are not methods of succeeding in this Yoga.",general
"दुःखोंका नाश करनेवाला योग तो यथायोग्य आहार विहार करनेवालेका, कर्मोंमें यथायोग्य चेष्टा – करनेवालेका और यथायोग्य सोने तथा जागनेवालेका ही सिद्ध होता है|",stress
"O Arjuna, only those people who eat, live, work and sleep moderately, and destroy all misery, succeed in this Yoga.",stress
"अत्यन्त वशमें किया हुआ चित्त जिस कालमें परमात्मामें ही भलीभाँति स्थित हो जाता है, उस कालमें सम्पूर्ण भोगोंसे स्पृहारहित पुरुष योगयुक्त है, ऐसा कहा जाता है|",general
"When one has freed himself of all desires, he will then always be firmly established in Yoga. When one has full control of his mind, he will be fully established in God.",general
"जिस प्रकार वायुरहित स्थानमें स्थित दीपक चलाय मान नहीं होता, वैसी ही उपमा परमात्माके ध्यानमें लगे हुए योगीके जीते हुए चित्तकी कही गयी है|",happiness
"The Almighty explained: Just as the flame of a lamp does not flicker in a place without wind, in the same way the controlled mind of the Yogi does not get distracted by worldly objects or pleasures.",happiness
योगके अभ्याससे निरुद्ध चित्त जिस अवस्थामें उपराम हो जाता है और जिस अवस्थामें परमात्माके ध्यानसे शुद्ध हुई सूक्ष्म बुद्धिद्वारा परमात्माको साक्षात् करता हुआ सच्चिदानन्दघन परमात्मामें ही सन्तुष्ट रहता ह,happiness
"By the practice of Yoga, one’s mind becomes peaceful and calm and the mind that has truly realized God through meditation attains spiritual happiness, enjoyment and bliss only in God.",happiness
"इन्द्रियोंसे अतीत, केवल शुद्ध हुई सूक्ष्म बुद्धिद्वारा ग्रहण करनेयोग्य जो अनन्त आनन्द है; उसको जिस अवस्था में अनुभव करता है और जिस अवस्थामें स्थित यह योगी परमात्माके स्वरूपसे विचलित होता ही नहीं |",happiness
"O Arjuna, the limitless and everlasting joy and bliss that a true Yogi feels cannot be perceived by the ordinary senses, but can only be felt by a person who has a subtle, keen and clever intellect. W",happiness
परमात्माकी प्राप्तिरूप जिस लाभको प्राप्त होकर उससे अधिक दूसरा कुछ भी लाभ नहीं मानता और परमात्मप्राप्तिरूप जिस अवस्थामें स्थित योगी बड़े भारी दुःखसे भी चलायमान नहीं होता|,happiness
"Having achieved this divine state of bliss, Dear Arjuna, the Yogi realizes that no other state or condition could be greater, thus even the most intense pains will never lead the Yogi astray from Trut",happiness
जो दुःखरूप संसारके संयोगसे रहित है तथा जिसका नाम योग है; उसको जानना चाहिये । वह योग न उकताये हुए अर्थात् धैर्य और उत्साहयुक्त चित्तसे निश्चयपूर्वक करना कर्तव्य है|,general
Yoga is the means to liberate (free) one from all miseries of the world. Yoga should always be practical with a fixed mind and determination.,general
संकल्पसे उत्पन्न होनेवाली सम्पूर्ण कामनाओंको नि: शेषरूपसे त्यागकर और मनके द्वारा इन्द्रियोंके समुदायको सभी ओरसे भलीभाँति रोककर,happiness
"Once one has completely given up all desires created from his imagination and once one has learned to mentally control all of his senses, one slowly and gradually becomes peaceful. A true Yogi with a ",happiness
क्रम-क्रमसे अभ्यास करता हुआ उपरतिको प्राप्त हो तथा धैर्ययुक्त बुद्धिके द्वारा मनको परमात्मामें स्थित करके परमात्माके सिवा और कुछ भी चिन्तन न करे|,happiness
"यह स्थिर न रहनेवाला और चञ्चल मन जिस जिस शब्दादि विषयके निमित्तसे संसारमें विचरता है, उस उस विषयसे रोककर यानी हटाकर इसे बार बार परमात्मामें ही निरुद्ध करे|",general
"The unsteady, wandering and constantly distracted mind should always be controlled and fixed in God.",general
"क्योंकि जिसका मन भली प्रकार शान्त है, जो पापसे रहित है और जिसका रजोगुण शान्त हो गया है, ऐसे इस सच्चिदानन्दघन ब्रह्मके साथ एकीभाव हुए योगीको उत्तम आनन्द प्राप्त होता है |",happiness
"Lord Krishna explained:The true Yogi has a peaceful mind, is free from sin and all evils of the world, becomes and eternal bliss.",happiness
वह पापरहित योगी इस प्रकार निरन्तर आत्माको परमात्मामें लगाता हुआ सुखपूर्वक परब्रह्म परमात्माकी प्राप्तिरूप अनन्त आनन्दका अनुभव करता है|,happiness
"The sinless Yogi is constantly engaged in Yoga, and experiences no difficulty in achieving the greatest bliss and happiness of all, O Arjuna. That is, uniting and being one with Me, the Lord.",happiness
सर्वव्यापी अनन्त चेतनमें एकीभावसे स्थितिरूप योगसे युक्त आत्मावाला तथा सबमें समभावसे देखनेवाला योगी आत्माको सम्पूर्ण भूतोंमें स्थित और सम्पूर्ण भूतोंको आत्मामें कल्पित देखता है|,stress
